schemeCode,schemeName,isinGrowth,isinDivReinvestment
119160,Tata Large Cap Fund -Direct Plan Growth Option,INF277K01QZ7,
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,INF277K01PY2,
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,INF277K01MK8,
119212,DSP Small Cap Fund - Direct Plan - Growth,INF740K01QD1,
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,INF740K01PL6,
119231,Tata Value Fund -Direct Plan Growth Option,INF277K01ND1,
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,INF740K01OK1,
119250,DSP Large Cap Fund - Direct Plan - Growth,INF740K01PR3,
119292,Union Flexi Cap Fund - Direct Plan - Growth Option,INF582M01633,
119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,INF582M01765,
119308,L&T India Large Cap Fund - Direct Plan - Growth,,
119323,Tata Contra Fund -Direct Plan Growth,,
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,INF761K01652,
119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,INF761K01884,
119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,INF955L01AG0,
119367,Baroda Large cap Fund - Plan B (Direct) - Growth Option,,
119404,L&T India Value Fund-Direct Plan-Growth,,
119436,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,INF209K01VH8,
119451,Principal Multi Cap Growth Fund - Direct Plan -Half Yearly Income Distribution CUM Capital Withdrawal Option,,
119452,Principal Multi Cap Growth Fund-Direct Plan - Growth Option,,
119464,Principal Focused Multicap Fund- Direct Plan - Growth Option,,
119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,INF209K01YY7,
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,INF209K01UN8,
119549,Sundaram Value Fund Direct Plan - Growth,INF903J01NN3,
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,INF209K01WN4,
119564,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,INF209K01WE3,
119581,Sundaram Mid Cap Fund Direct Plan - Growth,INF903J01MJ3,
119589,Sundaram Small Cap Fund Direct Plan - Growth,INF903J01NK9,
119659,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,INF209K01WQ7,
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,INF200K01UJ5,
119769,Kotak Contra Fund - Direct Plan - Growth,INF174K01KZ9,
119773,Kotak ELSS Tax Saver Fund-Growth - Direct,INF174K01LI3,
119807,L&T Mid Cap Fund-Direct Plan-Growth,,
119869,JPMorgan India Mid and Small Cap Fund - Direct Plan - Growth Option,,
119893,BNP Paribas LARGE CAP Fund - Direct Plan - Growth Option,,
119914,ING Large Cap Equity Fund - Direct Plan - Growth Option,,
119988,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,,
120002,BNP Paribas Mid Cap Fund - Direct Plan - Growth Option,,
120030,HSBC Large Cap Fund - Direct Growth,INF336L01CM7,
120046,HSBC Flexi Cap Fund - Direct Growth,INF336L01DH5,
120069,HSBC Small Cap Equity Fund - Growth Direct,,
120077,HSBC - Small Cap Fund - Growth Direct,,
120100,DHFL Pramerica Large Cap Equity Fund - Direct Plan-Growth Option,,
120152,Kotak Large Cap  Fund - Growth - Direct,INF174K01KW6,
120158,Kotak Large & Midcap Fund - Direct- Growth,INF174K01LF9,
120164,Kotak-Small Cap Fund - Growth - Direct,INF174K01KT2,
120264,LIC MF Flexi Cap Fund-Direct Plan-Growth,INF767K01EG3,
120267,LIC MF Large Cap Fund-Direct Plan-Growth,INF767K01EJ7,
120270,LIC MF ELSS Tax Saver-Direct Plan-Growth,INF767K01EM1,
120323,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,INF109K012K1,
120348,Invesco India Contra Fund - Direct Plan - Growth,INF205K01LE4,
120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,INF205K01MA0,
120386,Sahara Star Value Fund-Growth - Direct,,
120416,Invesco India ELSS Tax Saver Fund - Direct Plan - Growth,INF205K01NT8,
120465,Axis Large Cap Fund - Direct Plan - Growth,INF846K01DP8,
120468,Axis Focused Fund - Direct Plan - Growth Option,INF846K01CQ8,
120486,JM Value Fund (Direct) - Growth Option,INF192K01BT3,
120488,JM Focused Fund (Direct)  - Growth Option,INF192K01BW7,
120490,JM Large Cap Fund (Direct) - Growth Option,INF192K01BZ0,
120494,JM ELSS Tax Saver Fund (Direct) - Growth Option,INF192K01CE3,
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
120564,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,INF209K01XX1,
120586,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,INF109K016L0,
120592,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,INF109K01Y31,
120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,INF109K011O5,
120656,UTI Large Cap Fund - Direct Plan - Growth Option,INF789F01US8,
120662,UTI - Flexi Cap Fund-Growth Option - Direct,INF789F01TC4,
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,INF789F01UG3,
120699,UTI - Master Value Fund-Growth Option-Direct,,
120715,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,INF789F01TF7,
120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,
120726,UTI Mid Cap Fund-Growth Option- Direct,INF789F01UA6,
120751,UTI Value Fund - Direct Plan - Growth Option,INF789F01VB2,
120759,UTI Contra Fund-Growth-Growth Option-Direct,,
120826,quant Large & Mid Cap Fund - Growth Option-Direct Plan,INF966L01648,
120828,quant Small Cap Fund - Growth Option - Direct Plan,INF966L01689,
120834,quant Focused Fund - Growth Option-Direct Plan,INF966L01853,
120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
120843,quant Flexi Cap Fund - Growth Option-Direct Plan,INF966L01911,
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,INF966L01986,
122387,Motilal Oswal Focused Fund - Regular Plan Growth Option,INF247L01155,
122389,Motilal Oswal Focused Fund - Direct Plan Growth Option,INF247L01189,
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,INF879O01027,
122640,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,INF879O01019,
125350,Axis Small Cap Fund - Regular Plan - Growth,INF846K01K01,
125354,Axis Small Cap Fund - Direct Plan - Growth,INF846K01K35,
125494,SBI Small Cap Fund - Regular Plan - Growth,INF200K01T28,
125497,SBI Small Cap Fund - Direct Plan - Growth,INF200K01T51,
126638,Aditya Birla Sun Life Focused Equity Fund - Series 1 - Regular Plan-Growth,,
126639,Aditya Birla Sun Life Focused Equity Fund - Series 1 - Direct Plan-Growth,,
127919,Aditya Birla Sun Life Focused Equity Fund - Series 2 - Direct Plan-Growth,,
127921,Aditya Birla Sun Life Focused Equity Fund - Series 2 - Regular Plan-Growth,,
128235,IDBI FLEXI CAP FUND Growth Regular,,
128236,IDBI FLEXI CAP FUND Growth Direct,,
129046,Motilal Oswal Flexi cap Fund Direct Plan-Growth Option,INF247L01502,
129048,Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option,INF247L01478,
129647,Union Small Cap Fund - Regular Plan - Growth Option,INF582M01BY1,
129649,Union Small Cap Fund - Direct Plan - Growth Option,INF582M01BU9,
